OSM Tags,OSM Values,Constraint Name,Constraint Type
Office,Estate Agent,Urban Areas,Area
Leaftype,Needleleaved,Trees,Area
Leaftype,Leafless,Trees,Area
Leaftype,Broadleaved,Trees,Area
Leaftype,Mixed,Trees,Area
Leisure,Playground,IGNORE,Area
Leisure,Park,IGNORE,Area
Leisure,Pitch,IGNORE,Area
Leisure,Swimming Pool,IGNORE,Area
Leisure,Stadium,IGNORE,Area
Leisure,adult_gaming_centre,Building Area,Area
Leisure,adult_gaming_centre,Buildings,Point
Leisure,amusement_arcade,Buildings,Point
Leisure,amusement_arcade,Building Area,Area
Leisure,beach_resort,Building Area,Area
Leisure,beach_resort,Buildings,Point
Leisure,bandstand,Buildings,Point
Leisure,bandstand,Building Area,Area
Leisure,bird_hide,Building Area,Area
Leisure,bird_hide,Buildings,Point
Leisure,common,Buildings,Point
Leisure,common,Building Area,Area
Leisure,dance,Buildings,Point
Leisure,dance,Building Area,Area
Leisure,disc_golf_course,Building Area,Area
Leisure,disc_golf_course,Buildings,Point
Leisure,dog_park,Buildings,Point
Leisure,dog_park,Building Area,Area
Leisure,escape_game,Building Area,Area
Leisure,escape_game,Buildings,Point
Leisure,firepit,Building Area,Area
Leisure,firepit,Buildings,Point
Leisure,fishing,Building Area,Area
Leisure,fishing,Buildings,Point
Leisure,fitness_centre,Building Area,Area
Leisure,fitness_centre,Buildings,Point
Leisure,fitness_station,Building Area,Area
Leisure,fitness_station,Buildings,Point
Leisure,garden,Building Area,Area
Leisure,garden,Buildings,Point
Leisure,hackerspace,Building Area,Area
Leisure,hackerspace,Buildings,Point
Leisure,horse_riding,Building Area,Area
Leisure,horse_riding,Buildings,Point
Leisure,ice_rink,Building Area,Area
Leisure,ice_rink,Buildings,Point
Leisure,marina,Building Area,Area
Leisure,marina,Buildings,Point
Leisure,miniature_golf,Building Area,Area
Leisure,miniature_golf,Buildings,Point
Leisure,nature_reserve,Building Area,Area
Leisure,nature_reserve,Buildings,Point
Leisure,Horseriding,IGNORE,Area
Sport,Soccer,IGNORE,Area
Sport,Basketball,IGNORE,Area
Historic,Memorial,Cultural Sites,Area
Historic,Monument,Heritage Area,Area
Emergency,ambulance_station,IGNORE,Area
Emergency,ambulance_station,IGNORE,Point
Emergency,Landing Site,IGNORE,Area
Geological,Moraine,IGNORE,Line
Geological,Moraine,IGNORE,Point
Geological,Moraine,IGNORE,Area
Geological,outcrop,IGNORE,Line
Geological,outcrop,IGNORE,Area
Geological,outcrop,IGNORE,Point
Geological,papalaeontological site,Heritage Point,Point
Geological,palaeontological site,Cultural Sites,Area
Geological,volcanic caldera rim,Volcanic Line,Line
Geological,volcanic lava field,Volcanic Area,Area
Geological,volcanic lava field,Volcanic Point,Point
Historic,Aircraft,Airports,Point
Historic,Aircraft,Airport Area,Area
Historic,Aqueduct,Aqueduct Area,Area
Historic,Aqueduct,Aqueduct Point,Line
Historic,archaeological_site,Heritage Line,Line
Historic,archaeological_site,Heritage Area,Area
Historic,archaeological_site,Heritage Point,Point
Historic,battlefield,Heritage Point,Point
Historic,battlefield,Heritage Area,Area
Historic,bomb_crater,Heritage Area,Area
Historic,bomb_crater,Heritage Point,Point
Historic,boundary_stone,IGNORE,Point
Historic,Buildings,Buildings,Point
Historic,Buildings,Building Area,Area
Historic,cannon,IGNORE,Point
Historic,castle,Buildings,Point
Historic,castle,Heritage Area,Area
Historic,castle_wall,Heritage Line,Line
Historic,castle_wall,Heritage Area,Area
Historic,charcoal_pile,IGNORE,Area
Historic,charcoal_pile,IGNORE,Point
Historic,church,Religious Buildings,Point
Historic,church,Religious Building Area,Area
Historic,city_gate,IGNORE,Area
Historic,city_gate,IGNORE,Point
Historic,citywalls,IGNORE,Line
Historic,citywalls,IGNORE,Area
Historic,creamery,IGNORE,Point
Historic,creamery,IGNORE,Area
Historic,farm,IGNORE,Point
Historic,farm,IGNORE,Area
Historic,fort,Heritage Point,Point
Historic,fort,Heritage Area,Area
Historic,highwater_mark,IGNORE,Point
Historic,locomotive,IGNORE,Point
Historic,locomotive,IGNORE,Area
Historic,manor,Heritage Area,Area
Historic,manor,Heritage Point,Point
Historic,memorial,Heritage Point,Point
Historic,memorial,Heritage Area,Area
Historic,milestone,IGNORE,Point
Historic,monastery,Religious Buildings,Point
Historic,monastery,Religious Building Area,Area
Historic,monument,Heritage Point,Point
Historic,monument,Heritage Area,Area
Historic,ruins,Heritage Area,Area
Historic,ruins,Heritage Line,Line
Historic,ruins,Heritage Point,Point
Historic,rune_stone,IGNORE,Point
Historic,Ship,IGNORE,Point
Historic,Ship,IGNORE,Area
Boundary,aboriginal_lands,Indigenous Communities,Area
Boundary,border_zone,Border Zone,Area
Boundary,forest,Forest Area,Area
Boundary,forest_compartment,Forest Area,Area
Boundary,hazard,Hazard Boundary,Area
Boundary,maritime,Maritime Boundary,Area
Boundary,national_park,National Parks,Area
Boundary,place,Boundary,Line
Boundary,political,IGNORE,Area
Boundary,postal_code,IGNORE,Area
Boundary,protected_area,Protected Area,Area
Boundary,special_economic_zone,SEZ,Area
Boundary,disputed,IGNORE,Area
Landuse,commercial,Building Area,Area
Landuse,commercial,Buildings,Point
Landuse,construction,Buildings,Point
Landuse,construction,Building Area,Area
Landuse,education,Building Area,Area
Landuse,education,Buildings,Point
Landuse,industrial,Buildings,Point
Landuse,industrial,Building Area,Area
Landuse,residential,Building Area,Area
Landuse,residential,Buildings,Point
Landuse,retail,Buildings,Point
Landuse,retail,Building Area,Area
Landuse,allotments,Building Area,Area
Landuse,allotments,Buildings,Point
Landuse,farmland,Land Environments,Area
Landuse,farmyard,Land Environments,Area
Landuse,flowerbed,Tourist Area,Area
Landuse,forest,Forest Area,Area
Landuse,forest,Forests,Point
Landuse,meadow,Meadow Point,Point
Landuse,meadow,Grassland,Area
Landuse,orchard,Land Environments,Area
Landuse,orchard,Land Environments,Point
Landuse,vineyard,Vineyards,Point
Landuse,vineyard,Land Environments,Area
Landuse,aquaculture,IGNORE,Area
Landuse,aquaculture,IGNORE,Point
Landuse,basin,IGNORE,Point
Landuse,basin,IGNORE,Area
Landuse,salt_pond,IGNORE,Area
Landuse,brownfield,IGNORE,Area
Landuse,brownfield,IGNORE,Point
Landuse,depot,IGNORE,Area
Landuse,garages,IGNORE,Area
Landuse,grass,IGNORE,Area
Landuse,grass,IGNORE,Point
Landuse,greenfield,Greenfield Point,Point
Landuse,greenfield,Grassland,Area
Landuse,greenhouse_horticulture,IGNORE,Area
Landuse,landfill,Landfill Area,Area
