OSM Tags,OSM Values,Constraint Type,Constraint Name
Leisure,amusement_arcade,Point,Commercial
Leisure,amusement_arcade,Area,Commercial
Leisure,beach_resort,Area,Tourist Accomodation
Leisure,beach_resort,Point,Tourist Accomodation
Leisure,bandstand,Point,Commercial Building
Leisure,bandstand,Area,Commercial
Leisure,bird_hide,Area,IGNORE
Leisure,bird_hide,Point,Building
Leisure,common,Point,Tourist Area
Leisure,common,Area,Tourist Area
Leisure,dance,Point,Commercial Building
Leisure,dance,Area,Commercial
Leisure,disc_golf_course,Area,Commercial
Leisure,disc_golf_course,Point,Commercial Building
Leisure,dog_park,Point,Residential
Leisure,dog_park,Area,Residential
Leisure,escape_game,Area,Commercial
Leisure,escape_game,Point,Commercial Building
Leisure,firepit,Area,IGNORE
Leisure,firepit,Point,IGNORE
Leisure,fishing,Area,Tourist Area
Leisure,fishing,Point,Tourist Area
Leisure,fitness_centre,Area,Commercial
Leisure,fitness_centre,Point,Commercial Building
Leisure,fitness_station,Area,Commercial
Leisure,fitness_station,Point,Commercial Building
Leisure,garden,Area,Residential
Leisure,garden,Point,Residential
Leisure,hackerspace,Area,Urban Area
Leisure,hackerspace,Point,Building
Leisure,horse_riding,Area,Tourist Area
Leisure,horse_riding,Point,Tourist Area
Leisure,ice_rink,Area,Commercial
Leisure,ice_rink,Point,Commercial Building
Leisure,marina,Area,Marina
Leisure,marina,Point,Marina
Leisure,miniature_golf,Area,Commercial
Leisure,miniature_golf,Point,Commercial Building
Leisure,nature_reserve,Area,Nature Reserve
Leisure,nature_reserve,Point,Nature Reserve
Leisure,Horseriding,Area,IGNORE
Sport,Soccer,Area,IGNORE
Sport,Basketball,Area,IGNORE
Historic,Memorial,Area,Historical Building
Historic,Monument,Area,Historical Building
Emergency,ambulance_station,Area,Healthcare Facility
Emergency,ambulance_station,Point,Healthcare Facility
Emergency,Landing Site,Area,IGNORE
Geological,Moraine,Line,Moraine
Geological,Moraine,Point,Moraine
Geological,Moraine,Area,Moraine
Geological,outcrop,Line,Outcrop
Geological,outcrop,Area,Outcrop
Geological,outcrop,Point,Outcrop
Geological,palaeontological site,Point,Palaeontological Site
Geological,palaeontological site,Area,Palaeontological Site
Geological,volcanic caldera rim,Line,Volcanic Caldera Rim
Geological,volcanic lava field,Area,Volcanic Lava Field
Geological,volcanic lava field,Point,Volcanic Lava Field
Historic,Aircraft,Point,IGNORE
Historic,Aircraft,Area,IGNORE
Historic,Aqueduct,Area,Heritage Area
Historic,Aqueduct,Line,Heritage Area
Historic,archaeological_site,Line,Heritage Area
Historic,archaeological_site,Area,Heritage Area
Historic,archaeological_site,Point,Heritage Area
Historic,battlefield,Point,IGNORE
Historic,battlefield,Area,IGNORE
Historic,bomb_crater,Area,IGNORE
Historic,bomb_crater,Point,IGNORE
Historic,boundary_stone,Point,IGNORE
Historic,Buildings,Point,Historical Building
Historic,Buildings,Area,Historical Building
Historic,cannon,Point,IGNORE
Historic,castle,Point,IGNORE
Historic,castle,Area,IGNORE
Historic,castle_wall,Line,IGNORE
Historic,castle_wall,Area,IGNORE
Historic,charcoal_pile,Area,IGNORE
Historic,charcoal_pile,Point,IGNORE
Historic,church,Point,Religious Building
Historic,church,Area,Religious Area
Historic,city_gate,Area,IGNORE
Historic,city_gate,Point,IGNORE
Historic,citywalls,Line,IGNORE
Historic,citywalls,Area,IGNORE
Historic,creamery,Point,IGNORE
Historic,creamery,Area,IGNORE
Historic,farm,Point,IGNORE
Historic,farm,Area,IGNORE
Historic,fort,Point,Historical Building
Historic,fort,Area,Heritage Area
Historic,highwater_mark,Point,IGNORE
Historic,locomotive,Point,IGNORE
Historic,locomotive,Area,IGNORE
Historic,manor,Area,Heritage Area
Historic,manor,Point,Historical Building
Historic,memorial,Point,Historical Building
Historic,memorial,Area,Historical Building
Historic,milestone,Point,IGNORE
Historic,monastery,Point,Religious Building
Historic,monastery,Area,Religious Area
Historic,monument,Point,Heritage Area
Historic,monument,Area,Historical Building
Historic,ruins,Area,Heritage Area
Historic,ruins,Line,Heritage Area
Historic,ruins,Point,Historical Building
Historic,rune_stone,Point,IGNORE
Historic,Ship,Point,IGNORE
Historic,Ship,Area,IGNORE
Boundary,aboriginal_lands,Area,Indigenous Community
Boundary,border_zone,Area,IGNORE
Boundary,forest,Area,Forest
Boundary,forest_compartment,Area,Forest
Boundary,hazard,Area,IGNORE
Boundary,maritime,Area,IGNORE
Boundary,national_park,Area,National Park
Boundary,place,Line,IGNORE
Boundary,political,Area,IGNORE
Boundary,postal_code,Area,IGNORE
Boundary,protected_area,Area,Protected Area
Boundary,special_economic_zone,Area,SEZ
Boundary,disputed,Area,IGNORE
Landuse,commercial,Area,Commercial
Landuse,commercial,Point,Commercial
Landuse,construction,Point,Building
Landuse,construction,Area,Urban Area
Landuse,education,Area,Educational Facility
Landuse,education,Point,Educational Facility
Landuse,industrial,Point,Industrial
Landuse,industrial,Area,Industrial
Landuse,residential,Area,Residential
Landuse,residential,Point,Residential
Landuse,retail,Point,Commercial Building
Landuse,retail,Area,Commercial
Landuse,allotments,Area,Urban Area
Landuse,allotments,Point,Building
Landuse,farmland,Area,Farmland
Landuse,farmyard,Area,Farmyard
Landuse,flowerbed,Area,IGNORE
Landuse,forest,Area,Forest
Landuse,forest,Point,Forest
Landuse,meadow,Point,Meadow
Landuse,meadow,Area,Meadow
Landuse,orchard,Area,SEZ
Landuse,orchard,Point,SEZ
Landuse,vineyard,Point,Vineyard
Landuse,vineyard,Area,Vineyard
Landuse,aquaculture,Area,Aquaculture
Landuse,aquaculture,Point,Aquaculture
Landuse,basin,Point,IGNORE
Landuse,basin,Area,IGNORE
Landuse,salt_pond,Area,Salt Pond
Landuse,brownfield,Area,IGNORE
Landuse,brownfield,Point,IGNORE
Landuse,depot,Area,IGNORE
Landuse,garages,Area,IGNORE
Landuse,grass,Area,IGNORE
Landuse,grass,Point,IGNORE
Landuse,greenfield,Point,IGNORE
Landuse,greenfield,Area,IGNORE
Landuse,greenhouse_horticulture,Area,IGNORE
Landuse,landfill,Area,Landfill
Landuse,landfill,Point,Landfill
Landuse,military,Point,Military
Landuse,military,Area,Military
Landuse,plant_nursery,Area,IGNORE
Landuse,port,Area,Port
Landuse,quarry,Area,Quarry
Landuse,quarry,Point,Quarry
Landuse,railway,Area,Railway
Landuse,recreation_ground,Area,Urban Area
Landuse,recreation_ground,Point,Building
Landuse,religious,Point,Religious Building
Landuse,religious,Area,Religious Area
Landuse,village_green,Area,Village Green
Landuse,village_green,Point,Village Green
Landuse,winter_sports,Point,IGNORE
Landuse,winter_sports,Area,IGNORE
Waterway,Stream,Area,River
Boundary,special_economic_zone,Point,SEZ
Waterway,River,Area,River
Landuse,Residential,Point,Residential
Landuse,port,Point,Port
Boundary,national_park,Point,National Park
Natural,Water,Point,IGNORE
voltage,8,Line,8 kV Transmission Line
voltage,8kV,Line,8 kV Transmission Line
voltage,8000,Line,8 kV Transmission Line
voltage,8000V,Line,8 kV Transmission Line
voltage,11,Line,11 kV Transmission Line
voltage,11kV,Line,11 kV Transmission Line
voltage,11000,Line,11 kV Transmission Line
voltage,11000V,Line,11 kV Transmission Line
voltage,22,Line,22 kV Transmission Line
voltage,22kV,Line,22 kV Transmission Line
voltage,22000,Line,22 kV Transmission Line
voltage,22000V,Line,22 kV Transmission Line
voltage,33,Line,33 kV Transmission Line
voltage,33kV,Line,33 kV Transmission Line
voltage,33000,Line,33 kV Transmission Line
voltage,33000V,Line,33 kV Transmission Line
voltage,44,Line,44 kV Transmission Line
voltage,44kV,Line,44 kV Transmission Line
voltage,44000,Line,44 kV Transmission Line
voltage,44000V,Line,44 kV Transmission Line
voltage,55,Line,55 kV Transmission Line
voltage,55kV,Line,55 kV Transmission Line
voltage,55000,Line,55 kV Transmission Line
voltage,55000V,Line,55 kV Transmission Line
voltage,88,Line,88 kV Transmission Line
voltage,88kV,Line,88 kV Transmission Line
voltage,88000,Line,88 kV Transmission Line
voltage,88000V,Line,88 kV Transmission Line
voltage,275,Line,275 kV Transmission Line
voltage,275kV,Line,275 kV Transmission Line
voltage,275000,Line,275 kV Transmission Line
voltage,275000V,Line,275 kV Transmission Line
voltage,500,Line,500 kV Transmission Line
voltage,500kV,Line,500 kV Transmission Line
voltage,500000,Line,500 kV Transmission Line
voltage,500000V,Line,500 kV Transmission Line
voltage,400000,Line,400 kV Transmission Line
voltage,765000,Line,765 kV Transmission Line
voltage,132000,Line,132 kV Transmission Line
voltage,25000,Line,25 kV Transmission Line
plant:method,combustion,Point,Power Plant
plant:method,photovoltaic,Point,Solar Power Plant
plant:source,solar,Point,Solar Power Plant
plant:source,gas,Point,Gas-Fired Power Plant
plant:source,hydro,Point,Hydropower Plant
plant:source,biomass,Point,Biogas Plant
generator:method,wind_turbine,Point,IGNORE
generator:method,combustion,Point,IGNORE
generator:method,photovoltaic,Point,IGNORE
generator:source,wind,Point,Wind Farm
generator:source,solar,Point,Solar Power Plant
